Artist,Location,lat,lon
Anna of the North,Oslo,59.9133301,10.7389701
Peter Bjorn and John,Sweden,59.6749712,14.5208584
Eric Prydz,Sweden,59.6749712,14.5208584
Bob Marley & The Wailers,Jamaica,18.1850507,-77.3947693
Chrystal,United Kingdom,54.7023545,-3.2765753
The Fratellis,United Kingdom,54.7023545,-3.2765753
Jet,Australia,-24.7761086,134.755
Ghost,Sweden,59.6749712,14.5208584
Jon Bellion,United States,39.7837304,-100.445882
TURSKI,Poland,52.215933,19.134422
VAE VISTIC,Poland,52.215933,19.134422
Riad,Czechia,49.7439047,15.3381061
Adamsky,Germany,51.1638175,10.4478313
NLT,United States,39.7837304,-100.445882
עודד,Israel,30.8124247,34.8594762
Frosti,Philadelphia,39.9527237,-75.1635262
Glokk40Spaz,United States,39.7837304,-100.445882
Ego,Germany,51.1638175,10.4478313
JAY-K,United Kingdom,54.7023545,-3.2765753
The Rare Occasions,Providence,41.8239891,-71.4128343
Zach Bryan,Canada,61.0666922,-107.991707
KT Tunstall,United Kingdom,54.7023545,-3.2765753
Joe Cocker,United Kingdom,54.7023545,-3.2765753
Kool & The Gang,United States,39.7837304,-100.445882
Jalen Ngonda,Liverpool,53.4071991,-2.99168
Otis Redding,United States,39.7837304,-100.445882
Commodores,United States,39.7837304,-100.445882
Al Green,United States,39.7837304,-100.445882
Radical Face,United States,39.7837304,-100.445882
The Verve,United Kingdom,54.7023545,-3.2765753
